id,public_id,name,SMILES,InDomain
366,FDB000366,Dioscin,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,TRUE
367,FDB000367,Collettiside I,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2O)OC11CCC(C)CO1,TRUE
370,FDB000370,Ophiopogonin C',CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(C)CO1,TRUE
371,FDB000371,Erythritol,OCC(O)C(O)CO,TRUE
372,FDB000372,Canescein,CC1OC(OC2CCC3(C=O)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C2=CC(=O)OC2)C(O)C(O)C1O,TRUE
373,FDB000373,Prenyl acetate,CC(C)=CCOC(C)=O,TRUE
375,FDB000375,Asparagoside B,CC(CCC1(O)OC2CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,TRUE
376,FDB000376,6-Hydroxykaempferol,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C(O)=C2O,TRUE
404,FDB000404,beta1-Tomatidine,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CN1,TRUE
411,FDB000411,Geranyl 3-methylbutanoate,CC(C)CC(=O)OC\C=C(\C)CCC=C(C)C,TRUE
424,FDB000424,"(R)-1,3-Octanediol",CCCCCC(O)CCO,TRUE
427,FDB000427,"(R)-1-O-b-D-glucopyranosyl-1,3-octanediol",CCCCCC(O)CCOC1OC(CO)C(O)C(O)C1O,TRUE
432,FDB000432,Moupinamide,COC1=CC(\C=C\C(=O)NCCC2=CC=C(O)C=C2)=CC=C1O,TRUE
440,FDB000440,alpha-Solanigrine,CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)CN1,TRUE
441,FDB000441,gamma2-Solamarine,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CN1,TRUE
443,FDB000443,Solacauline,CC1C2CCC(C)CN2C2CC3C4CC=C5CC(CCC5(C)C4CCC3(C)C12)OC1OCC(OC2OCC(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,TRUE
446,FDB000446,L-Tyrosine,NC(CC1=CC=C(O)C=C1)C(O)=O,TRUE
447,FDB000447,Papaverine,COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1,TRUE
453,FDB000453,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O,TRUE
455,FDB000455,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,TRUE
484,FDB000484,Glycine,NCC(O)=O,TRUE
556,FDB000556,L-Alanine,C[C@H](N)C(O)=O,TRUE
557,FDB000557,(¡À)-Alanine,CC(N)C(O)=O,TRUE
565,FDB000565,alpha-Tocopherol,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,TRUE
567,FDB000567,L-DOPA,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,TRUE
570,FDB000570,L-Proline,OC(=O)[C@@H]1CCCN1,TRUE
578,FDB000578,Xanthotoxol,[H]OC1=C2OC(=O)C([H])=C([H])C2=C([H])C2=C1OC([H])=C2[H],TRUE
591,FDB000591,Eupatilin,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O,TRUE
601,FDB000601,Isomangiferin,OCC1OC(C(O)C(O)C1O)C1=C(O)C=C(O)C2=C1OC1=C(C=C(O)C(O)=C1)C2=O,TRUE
604,FDB000604,Isorhamnetin,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,TRUE
605,FDB000605,Isorhamnetin 3-galactoside,COC1=C(O)C=CC(=C1)C1=C(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)C(=O)C2=C(O)C=C(O)C=C2O1,TRUE
609,FDB000609,Isorhamnetin 3-rutinoside,COC1=CC(=CC=C1O)C1=C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)C(=O)C2=C(O)C=C(O)C=C2O1,TRUE
610,FDB000610,Isosakuranetin,COC1=CC=C(C=C1)C1CC(=O)C2=C(O)C=C(O)C=C2O1,TRUE
611,FDB000611,Isosakuranetin 7-glucoside,COC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(OC1OC(CO)C(O)C(O)C1O)C=C2O,TRUE
612,FDB000612,Didymin,COC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(OC1OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C1O)C=C2O,TRUE
624,FDB000624,Fisetin,OC1=CC2=C(C=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1,TRUE
633,FDB000633,Kaempferol,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,TRUE
655,FDB000655,Liquiritigenin,OC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(O)C=C2,TRUE
657,FDB000657,Galangin,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=CC=C2)=C1,TRUE
661,FDB000661,Raffinose,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,TRUE
669,FDB000669,6''-O-Acetylgenistin,CC(=O)OCC1OC(OC2=CC(O)=C3C(OC=C(C3=O)C3=CC=C(O)C=C3)=C2)C(O)C(O)C1O,TRUE
670,FDB000670,6''-Malonylgenistin,OC1C(O)C(COC(=O)CC(O)=O)OC(OC2=CC3=C(C(O)=C2)C(=O)C(=CO3)C2=CC=C(O)C=C2)C1O,TRUE
678,FDB000678,(S)-Naringenin,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1,TRUE
683,FDB000683,Nobiletin,COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC,TRUE
689,FDB000689,Eriodictyol 7-glucoside,OCC1OC(OC2=CC3=C(C(=O)CC(O3)C3=CC=C(O)C(O)=C3)C(O)=C2)C(O)C(O)C1O,TRUE
690,FDB000690,"3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone",COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(OC)=C2OC,TRUE
691,FDB000691,Pebrellin,COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(O)=C2O,TRUE
693,FDB000693,Diosmetin 7-rutinoside,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(OC1OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C1O)C=C2O,TRUE
696,FDB000696,Isofraxidin,COC1=CC2=C(OC(=O)C=C2)C(OC)=C1O,TRUE
700,FDB000700,Undecanoic acid,CCCCCCCCCCC(O)=O,TRUE
701,FDB000701,Ethyl undecanoate,CCCCCCCCCCC(=O)OCC,TRUE
702,FDB000702,Carrotatoxin,CCCCCCC\C=C\CC#CC#CC(O)C=C,TRUE
710,FDB000710,Choline,C[N+](C)(C)CCO,TRUE
711,FDB000711,Choline chloride,[Cl-].C[N+](C)(C)CCO,TRUE
714,FDB000714,Pimpinellidine,COC1=C(OC)C2=C(OC(=O)C=C2)C2=C1OC=C2,TRUE
717,FDB000717,N-gamma-L-Glutamyl-L-tyrosine,NC(CCC(=O)NC(CC1=CC=C(O)C=C1)C(O)=O)C(O)=O,TRUE
728,FDB000728,Diethyl malonate,CCOC(=O)CC(=O)OCC,TRUE
739,FDB000739,Methyl sorbate,COC(=O)\C=C\C=C\C,TRUE
742,FDB000742,Gossypol,CC(C)C1=C2C=C(C)C(=C(O)C2=C(C=O)C(O)=C1O)C1=C(O)C2=C(C=O)C(O)=C(O)C(C(C)C)=C2C=C1C,TRUE
746,FDB000746,Lansiol,CC(CC(C)C(C)(C)C(C)=C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC4(C)C3=CCC12C,TRUE
751,FDB000751,Triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,TRUE
760,FDB000760,Chloroform,ClC(Cl)Cl,TRUE
764,FDB000764,Dimethyl sulfoxide,CS(C)=O,TRUE
771,FDB000771,Ginkgolide J,CC1C(=O)OC2CC34C5OC(=O)C3(OC3OC(=O)C(O)C43C(C5O)C(C)(C)C)C12O,TRUE
772,FDB000772,Lucyoside O,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O,TRUE
774,FDB000774,Tiglic acid,C\C=C(\C)C(O)=O,TRUE
790,FDB000790,Tricetin,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC(O)=C(O)C(O)=C1,TRUE
801,FDB000801,Chalconaringenin,OC1=CC=C(\C=C\C(=O)C2=C(O)C=C(O)C=C2O)C=C1,TRUE
809,FDB000809,(4-Methylphenyl)acetaldehyde,CC1=CC=C(CC=O)C=C1,TRUE
819,FDB000819,"2,4,5-Trimethoxybenzaldehyde",COC1=CC(OC)=C(OC)C=C1C=O,TRUE
826,FDB000826,2-(4-Methylphenyl)-2-propanol,CC1=CC=C(C=C1)C(C)(C)O,TRUE
839,FDB000839,Vanillin acetate,COC1=C(OC(C)=O)C=CC(C=O)=C1,TRUE
840,FDB000840,Vanilloside,COC1=C(OC2OC(CO)C(O)C(O)C2O)C=CC(C=O)=C1,TRUE
841,FDB000841,Ethyl vanillin,CCOC1=C(O)C=CC(C=O)=C1,TRUE
848,FDB000848,"3,5-Dihydroxybenzoic acid",OC(=O)C1=CC(O)=CC(O)=C1,TRUE
855,FDB000855,"1,4-Dimethoxybenzene",COC1=CC=C(OC)C=C1,TRUE
861,FDB000861,Diosmetin,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,TRUE
872,FDB000872,4-Methoxybenzaldehyde,COC1=CC=C(C=O)C=C1,TRUE
874,FDB000874,2-Ethoxynaphthalene,CCOC1=CC2=C(C=CC=C2)C=C1,TRUE
876,FDB000876,Octacosanal,CCCCCCCCCCCCCCCCCCCCCCCCCCCC=O,TRUE
880,FDB000880,Sodium lactate,[Na+].CC(O)C([O-])=O,TRUE
884,FDB000884,Hexacosanal,CCCCCCCCCCCCCCCCCCCCCCCCCC=O,TRUE
885,FDB000885,Hydroquinone,OC1=CC=C(O)C=C1,TRUE
886,FDB000886,Mequinol,COC1=CC=C(O)C=C1,TRUE
887,FDB000887,Cinnamyl alcohol,OCC=CC1=CC=CC=C1,TRUE
888,FDB000888,trans-Cinnamyl alcohol,OC\C=C\C1=CC=CC=C1,TRUE
889,FDB000889,Cinnamyl acetate,CC(=O)OC\C=C/C1=CC=CC=C1,TRUE
894,FDB000894,Acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(O)=O,TRUE
897,FDB000897,Methyl anthranilate,COC(=O)C1=CC=CC=C1N,TRUE
898,FDB000898,"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one",CC1=CCCC(C)(C)C1\C=C\C(=O)CCC=C,TRUE
899,FDB000899,(¡À)-Leucine,CC(C)CC(N)C(O)=O,TRUE
918,FDB000918,Saccharin,O=C1NS(=O)(=O)C2=C1C=CC=C2,TRUE
919,FDB000919,Saccharin sodium,[Na+].O=C1NS(=O)(=O)C2=C1C=CC=C2,TRUE
920,FDB000920,Saccharin calcium,[Ca++].[O-]C1=NS(=O)(=O)C2=CC=CC=C12.[O-]C1=NS(=O)(=O)C2=CC=CC=C12,TRUE
952,FDB000952,Methyl 2-furoate,COC(=O)C1=CC=CO1,TRUE
958,FDB000958,Procyanidin B1,O[C@H]1CC2=C(O)C=C(O)C([C@@H]3[C@@H](O)[C@H](OC4=CC(O)=CC(O)=C34)C3=CC=C(O)C(O)=C3)=C2O[C@@H]1C1=CC=C(O)C(O)=C1,TRUE
963,FDB000963,Herniarin,COC1=CC2=C(C=CC(=O)O2)C=C1,TRUE
966,FDB000966,Ethyl (¡À)-2-methyl-4-pentenoate,CCOC(=O)C(C)CC=C,TRUE
967,FDB000967,Methyl (¡À)-2-Methylbutanoate,CCC(C)C(=O)OC,TRUE
968,FDB000968,Pentyl pentanoate,CCCCCOC(=O)CCCC,TRUE
969,FDB000969,Allyl nonanoate,CCCCCCCCC(=O)OCC=C,TRUE
976,FDB000976,Isoeruboside B,CC1C2C(CC3C4CC(O)C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,TRUE
992,FDB000992,Protoisoeruboside B,CC(CCC1(O)OC2CC3C4CC(O)C5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,TRUE
1007,FDB001007,(E)-2-Tetracosenoic acid,CCCCCCCCCCCCCCCCCCCCC\C=C\C(O)=O,TRUE
1022,FDB001022,Ethyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCC,TRUE
1028,FDB001028,Ethyl salicylate,CCOC(=O)C1=C(O)C=CC=C1,TRUE
1037,FDB001037,4-Aminobenzoic acid,NC1=CC=C(C=C1)C(O)=O,TRUE
1060,FDB001060,Glycyrrhizin,CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O,TRUE
1061,FDB001061,Glyciram,[NH4+].CC12CCC(C)(CC1C1=CC(=O)C3C4(C)CCC(OC5OC(C(O)C(O)C5OC5OC(C(O)C(O)C5O)C(O)=O)C(O)=O)C(C)(C)C4CCC3(C)C1(C)CC2)C(O)=O,TRUE
1081,FDB001081,Methyl (xi)-3-nonenoate,CCCCC\C=C/CC(=O)OC,TRUE
1094,FDB001094,Umbelliferone,OC1=CC2=C(C=C1)C=CC(=O)O2,TRUE
1111,FDB001111,Chinese tannin,OC1=CC(=CC(O)=C1O)C(=O)OC1=CC(=CC(O)=C1O)C(=O)OCC1OC(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C(OC(=O)C2=CC(O)=C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)=C2)C1OC(=O)C1=CC(O)=C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,TRUE
1114,FDB001114,"alpha,alpha-Trehalose",OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,TRUE
1116,FDB001116,D-Glucaric acid,OC(C(O)C(O)C(O)=O)C(O)C(O)=O,TRUE
1118,FDB001118,Sambubiose,OCC1OC(O)C(OC2OCC(O)C(O)C2O)C(O)C1O,TRUE
1127,FDB001127,Starch acetate,CC(=O)OCC1OC(O)C(OC(C)=O)C(OC(C)=O)C1O,TRUE
1128,FDB001128,Starch,OCC1OC(O)C(O)C(O)C1O,TRUE
1131,FDB001131,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,TRUE
1132,FDB001132,Sucrose octaacetate,CC(=O)OCC1OC(COC(C)=O)(OC2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C1OC(C)=O,TRUE
1134,FDB001134,Xylitol,OC[C@H](O)[C@@H](O)[C@H](O)CO,TRUE
1136,FDB001136,D-Xylose,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,TRUE
1138,FDB001138,Chiro-Inositol,O[C@H]1[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,TRUE
1141,FDB001141,Inulin,OCC1OC(CO)(OCC2(OC3OC(CO)C(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C1O,TRUE
1145,FDB001145,Lactose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,TRUE
1146,FDB001146,Lucuminoside,OC1COC(OCC2OC(OC(C#N)C3=CC=CC=C3)C(O)C(O)C2O)C(O)C1O,TRUE
1147,FDB001147,Galactinol,OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,TRUE
1148,FDB001148,L-Galacto-2-heptulose,OCC1OC(O)(CO)C(O)C(O)C1O,TRUE
1151,FDB001151,4-O-beta-D-Galactopyranosyl-D-galactose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,TRUE
1160,FDB001160,Galacturonic acid,O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,TRUE
1163,FDB001163,Gentiotriose,OCC1OC(OCC2OC(OCC3OC(O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,TRUE
1171,FDB001171,D-4-O-Methyl-myo-inositol,CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O,TRUE
1178,FDB001178,Neokestose,OCC1OC(CO)(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C1O,TRUE
1183,FDB001183,Cellulose acetate,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O.CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O.CCC(=O)OCC1OC(OC(=O)CC)C(OC(=O)CC)C(OC(=O)CC)C1OC1OC(COC(=O)CC)C(OC(=O)CC)C(OC(=O)CC)C1OC(=O)CC,TRUE
1184,FDB001184,Methyl cellulose,COCC1O[C@@H](O[C@@H]2C(COC)OC(OC)C(OC)C2OC)C(OC)C(OC)C1OC,TRUE
1186,FDB001186,gamma-Cyclodextrin,OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC9C(CO)OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,TRUE
1189,FDB001189,6-O-Glucosylmaltose,OCC1OC(OCC2OC(O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,TRUE
1191,FDB001191,Maltohexaose,OCC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(OC4C(O)C(O)C(OC5C(O)C(O)C(OC6C(O)C(O)C(O)OC6CO)OC5CO)OC4CO)OC3CO)OC2CO)C(O)C(O)C1O,TRUE
1192,FDB001192,Maltopentaose,OCC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(OC4C(O)C(O)C(OC5C(O)C(O)C(O)OC5CO)OC4CO)OC3CO)OC2CO)C(O)C(O)C1O,TRUE
1193,FDB001193,Maltose,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,TRUE
1194,FDB001194,beta-D-Fructofuranosyl alpha-D-glucopyranosyl-(1->4)-D-glucopyranoside,OCC1OC(CO)(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,TRUE
1195,FDB001195,Maltotetraose,OCC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(OC4C(O)C(O)C(O)OC4CO)OC3CO)OC2CO)C(O)C(O)C1O,TRUE
1197,FDB001197,Mannan,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@@H]4[C@H](O)[C@H](O)[C@H](O)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@@H](O)[C@@H](O)[C@@H]1O,TRUE
1203,FDB001203,Melezitose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O,TRUE
1207,FDB001207,Panose,OCC1OC(OCC2OC(OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C2O)C(O)C(O)C1O,TRUE
1218,FDB001218,Arabinose,OC[C@@H](O)[C@@H](O)[C@H](O)C=O,TRUE
1221,FDB001221,Arbutin,OCC1OC(OC2=CC=C(O)C=C2)C(O)C(O)C1O,TRUE
1233,FDB001233,D-erythro-D-galacto-octitol,OCC(O)C(O)C(O)C(O)C(O)C(O)CO,TRUE
1246,FDB001246,Methyl beta-D-glucopyranoside,COC1OC(CO)C(O)C(O)C1O,TRUE
1255,FDB001255,Ethyl beta-D-glucopyranoside,CCOC1OC(CO)C(O)C(O)C1O,TRUE
