id,public_id,name,SMILES,SMILES,InDomain
48,FDB000048,p-Coumaroyl vitisin A,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1OC1O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=CC(O)=C2,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1OC1O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=CC(O)=C2,FALSE
52,FDB000052,Pinotin A,[H][C@]1(CO)O[C@@]([H])(OC2=C3C=C(OC4=CC(O)=CC([O+]=C2C2=CC(OC)=C(O)C(OC)=C2)=C34)C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,[H][C@]1(CO)O[C@@]([H])(OC2=C3C=C(OC4=CC(O)=CC([O+]=C2C2=CC(OC)=C(O)C(OC)=C2)=C34)C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,FALSE
55,FDB000055,Malvidin 3-(6''-caffeoyl-glucoside),[H][C@]1(COC(=O)\C=C\C2=CC(O)=C(O)C=C2)OC(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,[H][C@]1(COC(=O)\C=C\C2=CC(O)=C(O)C=C2)OC(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,FALSE
64,FDB000064,Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside),[H][C@]1(CO)O[C@@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(COC(=O)CC(O)=O)O[C@@]([H])(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)[C@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,[H][C@]1(CO)O[C@@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(COC(=O)CC(O)=O)O[C@@]([H])(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)[C@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,FALSE
75,FDB000075,Delphinidin 3-feruloylglucoside,[H][C@]1(COC(=O)\C=C\C2=CC(OC)=C(O)C=C2)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,[H][C@]1(COC(=O)\C=C\C2=CC(OC)=C(O)C=C2)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,FALSE
78,FDB000078,Luteolinidin,OC1=CC2=[O+]C(=CC=C2C(O)=C1)C1=CC=C(O)C(O)=C1,OC1=CC2=[O+]C(=CC=C2C(O)=C1)C1=CC=C(O)C(O)=C1,FALSE
82,FDB000082,Butein,[H]\C(=C(\[H])C1=CC(O)=C(O)C=C1)C(=O)C1=C(O)C=C(O)C=C1,[H]\C(=C(\[H])C1=CC(O)=C(O)C=C1)C(=O)C1=C(O)C=C(O)C=C1,TRUE
84,FDB000084,Phloretin-2'-O-(2''-O-xylosylglucoside),OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(O)=CC(O)=C2)[C@H](O)[C@H]1O,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(O)=CC(O)=C2)[C@H](O)[C@H]1O,FALSE
85,FDB000085,3-Hydroxyphloretin 2'-O-xylosyl-glucoside,[H][C@@]1(O)CO[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC(O)=CC(O)=C3C(=O)CCC3=CC(O)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O,[H][C@@]1(O)CO[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC(O)=CC(O)=C3C(=O)CCC3=CC(O)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O,FALSE
86,FDB000086,3-Hydroxyphloretin 2'-O-glucoside,[H][C@]1(CO)O[C@@]([H])(OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,[H][C@]1(CO)O[C@@]([H])(OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,TRUE
95,FDB000095,ent-Gallocatechin 3-gallate,OC1=CC2=C(C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](O2)C2=CC(O)=C(O)C(O)=C2)C(O)=C1,OC1=CC2=C(C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](O2)C2=CC(O)=C(O)C(O)=C2)C(O)=C1,FALSE
108,FDB000108,Procyanidin trimer EEC,O[C@H]1CC2=C(O[C@@H]1C1=CC=C(O)C(O)=C1)C(C1[C@@H](O)[C@H](OC3=C1C(O)=CC(O)=C3C1[C@@H](O)[C@H](OC3=C1C(O)=CC(O)=C3)C1=CC=C(O)C(O)=C1)C1=CC=C(O)C(O)=C1)=C(O)C=C2O,O[C@H]1CC2=C(O[C@@H]1C1=CC=C(O)C(O)=C1)C(C1[C@@H](O)[C@H](OC3=C1C(O)=CC(O)=C3C1[C@@H](O)[C@H](OC3=C1C(O)=CC(O)=C3)C1=CC=C(O)C(O)=C1)C1=CC=C(O)C(O)=C1)=C(O)C=C2O,TRUE
115,FDB000115,Prodelphinidin trimer GC-GC-C,[H]N[C@@H](CC(N)=O)C(=O)N[C@@H](C[SeH])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,[H]N[C@@H](CC(N)=O)C(=O)N[C@@H](C[SeH])C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,FALSE
122,FDB000122,Prodelphinidin trimer GC-C-C,[H][C@]1(O)CC2=C(O[C@]1([H])C1=CC(O)=C(O)C=C1)C(=C(O)C=C2O)[C@]1([H])C2=C(O)C=C(O)C(=C2O[C@]([H])(C2=CC(O)=C(O)C(O)=C2)[C@@]1([H])O)[C@]1([H])C2=C(O)C=C(O)C=C2O[C@]([H])(C2=CC(O)=C(O)C(O)=C2)[C@@]1([H])O,[H][C@]1(O)CC2=C(O[C@]1([H])C1=CC(O)=C(O)C=C1)C(=C(O)C=C2O)[C@]1([H])C2=C(O)C=C(O)C(=C2O[C@]([H])(C2=CC(O)=C(O)C(O)=C2)[C@@]1([H])O)[C@]1([H])C2=C(O)C=C(O)C=C2O[C@]([H])(C2=CC(O)=C(O)C(O)=C2)[C@@]1([H])O,TRUE
126,FDB000126,"Epicatechin-(2alpha->7,4alpha->8)-epicatechin 3-galactoside",OC[C@H]1O[C@H](O[C@@H]2[C@@H]3C4=C(O[C@]2(OC2=C3C3=C(CC[C@H](O3)C3=CC(O)=C(O)C=C3)C=C2)C2=CC(O)=C(O)C=C2)C=C(O)C=C4O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@H](O[C@@H]2[C@@H]3C4=C(O[C@]2(OC2=C3C3=C(CC[C@H](O3)C3=CC(O)=C(O)C=C3)C=C2)C2=CC(O)=C(O)C=C2)C=C(O)C=C4O)[C@H](O)[C@@H](O)[C@H]1O,FALSE
133,FDB000133,6-Geranylnaringenin,CC(C)=CCC\C(C)=C\CC1=C(O)C=C2O[C@@H](CC(=O)C2=C1O)C1=CC=C(O)C=C1,CC(C)=CCC\C(C)=C\CC1=C(O)C=C2O[C@@H](CC(=O)C2=C1O)C1=CC=C(O)C=C1,TRUE
135,FDB000135,Luteolin 7-O-diglucuronide,O[C@@H]1[C@@H](O)[C@H](OC(=O)[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C(O)=C3)[C@H](O)[C@@H](O)[C@@H]2O)O[C@@H]([C@H]1O)C(O)=O,O[C@@H]1[C@@H](O)[C@H](OC(=O)[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C(O)=C3)[C@H](O)[C@@H](O)[C@@H]2O)O[C@@H]([C@H]1O)C(O)=O,FALSE
136,FDB000136,Apigenin 6-C-arabinoside 8-C-glucoside,OC[C@@H]1OC([C@H](O)[C@H]1O)C1=C(O)C(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1,OC[C@@H]1OC([C@H](O)[C@H]1O)C1=C(O)C(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1,FALSE
137,FDB000137,Apigenin 6-C-galactoside 8-C-arabinoside,OC[C@H]1OC([C@@H](O)[C@@H]1O)C1=C2OC(=CC(=O)C2=C(O)C(C2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)=C1O)C1=CC=C(O)C=C1,OC[C@H]1OC([C@@H](O)[C@@H]1O)C1=C2OC(=CC(=O)C2=C(O)C(C2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)=C1O)C1=CC=C(O)C=C1,FALSE
138,FDB000138,Apigenin 7-O-glucuronide,O[C@@H]1[C@@H](O)[C@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)O[C@@H]([C@H]1O)C(O)=O,O[C@@H]1[C@@H](O)[C@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)O[C@@H]([C@H]1O)C(O)=O,FALSE
139,FDB000139,Luteolin 7-malonylglucoside,O[C@H]1[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C(O)=C2)[C@@H]1O,O[C@H]1[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C(O)=C2)[C@@H]1O,FALSE
144,FDB000144,Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside,OC[C@@]1(O)CO[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C(O)=C2)[C@@H]1O,OC[C@@]1(O)CO[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C(O)=C2)[C@@H]1O,FALSE
146,FDB000146,Jaceosidin,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C(OC)=C2O,TRUE
148,FDB000148,Apigenin 7-O-(6''-malonyl-apiosyl-glucoside),O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC[C@H]2O[C@@H](OC3=CC(O)=C4C(=O)C=C(OC4=C3)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,FALSE
150,FDB000150,Chrysoeriol 7-O-(6''-malonyl-apiosyl-glucoside),COC1=CC(=CC=C1O)C1=CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](COC(=O)CC(O)=O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@](O)(CO)[C@H]1O)C=C2O,COC1=CC(=CC=C1O)C1=CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](COC(=O)CC(O)=O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@](O)(CO)[C@H]1O)C=C2O,FALSE
152,FDB000152,Apigenin 7-O-diglucuronide,O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(O)=O)O[C@@H]([C@H]1O)C(O)=O,O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@H]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(O)=O)O[C@@H]([C@H]1O)C(O)=O,FALSE
154,FDB000154,Quercetin 3-O-xylosyl-glucuronide,OC[C@H]1O[C@@H](OC(=O)[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,OC[C@H]1O[C@@H](OC(=O)[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,FALSE
162,FDB000162,Quercetin 3-O-glucosyl-xyloside,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,TRUE
163,FDB000163,Quercetin 3-O-acetyl-rhamnoside,C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](OC(C)=O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](OC(C)=O)[C@H](O)[C@H]1O,TRUE
164,FDB000164,Kaempferol 3-O-glucosyl-rhamnosyl-galactoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,FALSE
165,FDB000165,Kaempferol 3-O-glucosyl-rhamnosyl-glucoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,FALSE
166,FDB000166,Quercetin 3-O-glucosyl-rhamnosyl-galactoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,TRUE
167,FDB000167,Quercetin 3-O-glucosyl-rhamnosyl-glucoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,TRUE
168,FDB000168,Quercetin 3-O-rhamnosyl-galactoside,C[C@H]1O[C@H](OC[C@@H]2O[C@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,C[C@H]1O[C@H](OC[C@@H]2O[C@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,TRUE
173,FDB000173,"Quercetin 3,4',7-triglucoside",OCC1OC(OC2=CC3=C(C(O)=C2)C(=O)C(OC2OC(CO)C(O)C(O)C2O)=C(O3)C2=CC(O)=C(OC3OC(CO)C(O)C(O)C3O)C=C2)C(O)C(O)C1O,OCC1OC(OC2=CC3=C(C(O)=C2)C(=O)C(OC2OC(CO)C(O)C(O)C2O)=C(O3)C2=CC(O)=C(OC3OC(CO)C(O)C(O)C3O)C=C2)C(O)C(O)C1O,TRUE
176,FDB000176,"3,7-Dimethylquercetin",COC1=CC2=C(C(O)=C1)C(=O)C(OC)=C(O2)C1=CC(O)=C(O)C=C1,COC1=CC2=C(C(O)=C1)C(=O)C(OC)=C(O2)C1=CC(O)=C(O)C=C1,TRUE
178,FDB000178,Quercetin 3-O-diglucoside,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,TRUE
188,FDB000188,Kaempferol 3-O-(6"-malonyl-glucoside),O[C@H]1[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@@H]1O,O[C@H]1[C@H](O)[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@@H]1O,FALSE
189,FDB000189,Quercetin 3-O-(6"-malonyl-glucoside) 7-O-glucoside,OCC1OC(OC2=CC3=C(C(O)=C2)C(=O)C(OC2OC(COC(=O)CC(O)=O)C(O)C(O)C2O)=C(O3)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,OCC1OC(OC2=CC3=C(C(O)=C2)C(=O)C(OC2OC(COC(=O)CC(O)=O)C(O)C(O)C2O)=C(O3)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O,FALSE
201,FDB000201,Kaempferol 3-O-acetyl-glucoside,CC(=O)OC[C@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,CC(=O)OC[C@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,TRUE
202,FDB000202,Quercetin 3-O-xylosyl-rutinoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)[C@H]1O,TRUE
203,FDB000203,Kaempferol 3-O-xylosyl-rutinoside,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](C)O[C@@H](OC[C@H]3O[C@@H](OC4=C(OC5=CC(O)=CC(O)=C5C4=O)C4=CC=C(O)C=C4)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](C)O[C@@H](OC[C@H]3O[C@@H](OC4=C(OC5=CC(O)=CC(O)=C5C4=O)C4=CC=C(O)C=C4)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,FALSE
207,FDB000207,Kaempferol 3-O-(6''-acetyl-galactoside) 7-O-rhamnoside,C[C@@H]1O[C@@H](OC2=CC(O)=C3C(OC(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](COC(C)=O)[C@H](O)[C@H](O)[C@H]4O)C3=O)=C2)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](OC2=CC(O)=C3C(OC(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](COC(C)=O)[C@H](O)[C@H](O)[C@H]4O)C3=O)=C2)[C@H](O)[C@H](O)[C@H]1O,FALSE
