,,,,bitter,sweet,tasteless
FDB001813,Floratheasaponin G,OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C\C)[C@H](OC(C)=O)[C@]6(CO)[C@H](O)C[C@@]54C)C3(C)C)O[C@H](C(O)=O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,TRUE,0.07,0.029999999,0.899999976
FDB001815,Floratheasaponin I,OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C/C)[C@H](O)[C@]6(COC(C)=O)[C@H](O)C[C@@]54C)C3(C)C)O[C@H](C(O)=O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,TRUE,0.07,0.029999999,0.899999976
FDB001828,Theasaponin A2,OC[C@H]1O[C@@H](O[C@H]2C(O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C/C)[C@H](O)[C@]6(COC(=O)C)[C@H](O)C[C@@]54C)[C@]3(C)CO)O[C@H](C(=O)O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)C2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,TRUE,0.07,0.029999999,0.899999976
FDB003017,Achyranthoside D,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB003018,Achyranthoside C,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB005627,Soyasaponin A-c,CC1OC(OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)C(O)C(OC6OCC(O)C(OC7OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C7OC(C)=O)C6O)C5(C)CCC43C)C2(C)CO)C(O)=O)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB005628,Soyasaponin A-d,CC(=O)OCC1OC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OCC(O)C(O)C8OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,TRUE,0.07,0.029999999,0.899999976
FDB011464,Betavulgaroside VI,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB011655,28-Glucosylarjunolate 3-[rhamnosyl-(1->3)-glucuronide],CC1OC(OC2C(O)C(OC3C(O)CC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(CCC54C)C(=O)OC4OC(CO)C(O)C(O)C4O)C3(C)CO)OC(C2O)C(O)=O)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB013039,Araloside C,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(OC7OCC(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB013442,Betavulgaroside IX,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(OC7OCC(O)C(O)C7O)C(O)=O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB013443,Spinacoside C,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC(OCC(O)=O)C(O)=O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB014111,Assamsaponin D,C\C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2CC1(C)C,TRUE,0.07,0.029999999,0.899999976
FDB015185,Assamsaponin E,C\C=C(\C)C(=O)OC1C(O)C2(COC(C)=O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2CC1(C)C,TRUE,0.07,0.029999999,0.899999976
FDB018503,Calendasaponin B,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB018615,Calendasaponin D,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC4(C)C3(C)CCC2(CC1O)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB018995,28-[Glucosyl-(1->6)-glucosyl]oleanolic acid 3-[glucosyl-(1->3)-[arabinosyl-(1->4)]-glucuronide],CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(OC7OCC(O)C(O)C7O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB018999,Cynarasaponin H,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB019080,Acetylsoyasaponin A1,CC(=O)OCC1OC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OC(CO)C(O)C(O)C8OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,TRUE,0.07,0.029999999,0.899999976
FDB019081,Acetylsoyasaponin A2,CC(=O)OCC1OC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,TRUE,0.07,0.029999999,0.899999976
FDB019082,Acetylsoyasaponin A6,CC(=O)OC1COC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OCC(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C1OC(C)=O,TRUE,0.07,0.029999999,0.899999976
FDB019083,Acetylsoyasaponin A3,CC(=O)OCC1OC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OCC(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,TRUE,0.07,0.029999999,0.899999976
FDB019084,Acetylsoyasaponin A5,CC(=O)OC1COC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C1OC(C)=O,TRUE,0.07,0.029999999,0.899999976
FDB019085,Acetylsoyasaponin A4,CC(=O)OC1COC(OC2C(O)COC(OC3C(O)C(C)(C)CC4C5=CCC6C7(C)CCC(OC8OC(C(O)C(O)C8OC8OC(CO)C(O)C(O)C8OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(C)(CO)C7CCC6(C)C5(C)CCC34C)C2O)C(OC(C)=O)C1OC(C)=O,TRUE,0.07,0.029999999,0.899999976
FDB019507,Quinoside D,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB020290,Sanguisorbin E,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1C)C(=O)OC1OC(CO)C(O)C(OC(C)=O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB020680,Tarasaponin VI,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB020682,Tarasaponin I,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(OC7OCC(O)C(O)C7O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,TRUE,0.07,0.029999999,0.899999976
FDB020683,Tarasaponin II,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,TRUE,0.07,0.029999999,0.899999976
FDB020890,Hemsloside Ma 2,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,TRUE,0.07,0.029999999,0.899999976
FDB010493,"1,3-Diphenyl-2-propanone",O=C(CC1=CC=CC=C1)CC1=CC=CC=C1,TRUE,0.050000001,0.02,0.899999976
FDB000691,Pebrellin,COC1=C(OC)C=C(C=C1)C1=CC(=O)C2=C(O1)C(OC)=C(OC)C(O)=C2O,TRUE,0.150000006,0.01,0.899999976
FDB006350,Majaronin,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(O)=C(OC)C(OC)=C2O1,TRUE,0.150000006,0.01,0.899999976
FDB016711,"5,6-Dihydroxy-4',7,8-trimethoxyflavone",COC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C(O)=C(OC)C(OC)=C2O1,TRUE,0.150000006,0.01,0.899999976
FDB017693,Sideritiflavone,COC1=C(OC)C(OC)=C2OC(=CC(=O)C2=C1O)C1=CC(O)=C(O)C=C1,TRUE,0.150000006,0.01,0.899999976
FDB000670,6''-Malonylgenistin,OC1C(O)C(COC(=O)CC(O)=O)OC(OC2=CC3=C(C(O)=C2)C(=O)C(=CO3)C2=CC=C(O)C=C2)C1O,TRUE,0.090000004,0.01,0.899999976
FDB016400,Quercetin 3-(6''-malonyl-glucoside),OC1C(O)C(COC(=O)CC(O)=O)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)C1O,TRUE,0.090000004,0.01,0.899999976
FDB012558,2-Furanmethanol,OCC1=CC=CO1,TRUE,0,0.379999995,0.889999986
